Format: Kata | Sinonim
Kesetiaan    | loyalitas, setia, keteguhan, fidelity, kepercayaan
Keterbukaan  | transparansi, openness, jujur, terbuka, tidak sembunyi
Ketulusan    | keikhlasan, kemurnian hati, kejujuran, sinceritas, tanpa pamrih
Ketuntasan   | kelengkapan, keselesaian, komprehensif, completeness, keterpenuhi
Kewajiban    | tugas, tanggung jawab, obligasi, duty, kewajiban moral
Kewirausahaan| entrepreneurship, jiwa bisnis, usaha mandiri, keberanian usaha, bisnis
Khidmat      | serius, penuh hormat, sungguh-sungguh, formal, khusyuk
Kodrat       | takdir, nasib, sifat alami, nature, bawaan
Komitmen     | janji teguh, dedikasi, tekad, kesanggupan, pledge
Kompeten     | mampu, cakap, ahli, terampil, qualified
Konsisten    | teguh, tidak berubah, stabil, steady, tetap
Kontribusi   | sumbangan, partisipasi, andil, share, peran serta
Lahan        | tanah, wilayah pertanian, petak, luas tanah, bidang
Lambang      | simbol, tanda, ikon, logo, emblem
Laut         | samudra, lautan, perairan asin, bentang laut, ocean
Layak        | pantas, sesuai, patut, appropriate, wajar
Lebih        | melebihi, berlebih, surplus, over, melampaui
Lembaga      | institusi, organisasi, badan resmi, yayasan, instansi
Lembar       | helaian, halaman, kertas, lembaran, page
Lengkap      | komplit, penuh, tak kurang, komprehensif, sempurna
Lestari      | abadi, kekal, terjaga, sustainable, tidak punah
Lincah       | gesit, tangkas, energik, agile, aktif
Lisan        | verbal, secara mulut, oral, ucapan, lisan
Logika       | penalaran, akal, rasional, reason, nalar
Loyal        | setia, patuh, taat, pengabdi, faithful
Lugas        | terus terang, langsung, blak-blakan, tanpa basa-basi, gamblang
Luhur        | mulia, agung, terhormat, noble, bermartabat
Lukisan      | gambaran, karya seni, painting, canvas, ilustrasi
Luwes        | supel, fleksibel, mudah menyesuaikan, adaptif, tidak kaku
Maju         | berkembang, progres, meningkat, progress, ke depan
Makna        | arti, pengertian, tafsir, esensi, significance
Mandiri      | otonom, independen, berdiri sendiri, tidak bergantung, self-reliant
Manfaat      | kegunaan, faedah, guna, benefit, nilai plus
Masyarakat   | komunitas, publik, rakyat, warga, society
Masukan      | saran, rekomendasi, input, feedback, pendapat
Merdeka      | bebas, independen, otonom, tidak dijajah, liberated
Modal        | kapital, investasi awal, biaya awal, dana usaha, capital
Motivasi     | dorongan, semangat, insentif, drive, stimulus
Mulia        | terhormat, luhur, agung, terpuji, noble
Murni        | asli, bersih, autentik, tidak ternoda, pure
Musyawarah   | mufakat, rembug, diskusi bersama, perundingan, deliberasi
Nafsu        | hasrat, keinginan, dorongan, gairah, desire
Nalar        | akal, logika, rasio, pemikiran, penalaran
Nilai        | harga, standar, ukuran, prinsip, value
Norma        | aturan, pedoman, standar, kaidah, patokan
Nurani       | suara hati, hati sanubari, kata hati, conscience, batin
Maaf         | permintaan maaf, ampun, sorry, penyesalan, taubat
Mahir        | terampil, ahli, cakap, kompeten, expert
Makhluk      | creature, organisme, ciptaan Tuhan, makhluk hidup, being
Mampu        | sanggup, bisa, kompeten, capable, dapat
Mantap       | kokoh, stabil, yakin, kuat, steady
Marah        | jengkel, gusar, kesal, murka, tersinggung
Masa         | waktu, zaman, periode, era, saat
Masalah      | persoalan, problem, hambatan, kesulitan, tantangan
Mata         | pandangan, penglihatan, organ mata, cermat, indra
Matang       | siap, dewasa, berkembang penuh, established, tidak mentah
Mawas diri   | introspeksi, refleksi, mengevaluasi diri, self-review, instropeksi
Mekar        | berkembang, tumbuh, membuka, blossom, berkembang pesat
Menang       | berhasil, juara, meraih kemenangan, succeed, triumph
Menghargai   | menghormati, mengapresiasi, menghargai, respect, memuliakan
Menjaga      | merawat, melindungi, memelihara, memantau, guarding
Menyadari    | memahami, mengakui, sadar, insaf, mengerti
Minat        | ketertarikan, hasrat, hobi, passion, keinginan
Misi         | tugas, tujuan khusus, mandat, assignment, mission
Moderasi     | keseimbangan, jalan tengah, tidak berlebihan, moderate, tengah-tengah
Moral        | akhlak, etika, budi pekerti, nilai, susila
Murid        | pelajar, siswa, anak didik, student, peserta
Musim        | periode cuaca, kurun, masa, season, waktu berulang
Nasib        | takdir, untung rugi, peruntungan, fate, kodrat
Nasihat      | saran, arahan, petunjuk, ajaran, bimbingan
Negara       | bangsa, republik, negeri, tanah air, nation
Niat         | maksud, tujuan, keinginan, kehendak, intention
Nikmat       | enak, lezat, menyenangkan, membahagiakan, delicious
Nomor        | angka, bilangan, urutan, nomor urut, number
Normatif     | sesuai norma, berstandar, baku, resmi, terstruktur
Nyata        | konkret, terbukti, riil, real, ada buktinya
Obyektif     | tidak memihak, netral, berdasar fakta, imparsial, objective
Otoritas     | wewenang, kekuasaan, kuasa resmi, authority, hak
Optimis      | positif, harapan tinggi, bersemangat, confident, hopeful
Nada         | bunyi, irama, intonasi, tone, suara
Nafas        | pernafasan, pernapasan, inhale exhale, udara hirup, respirasi
Naik         | meningkat, maju, naik tingkat, menanjak, bertambah
Nampan       | baki, alas pembawa, tray, wadah datar, baskom
Nampak       | terlihat, tampak, kelihatan, terbukti, visible
Nangkring    | bertengger, duduk tinggi, nangkring, perch, menapak
Narasi       | cerita, penuturan, kisah, teks cerita, narration
Nasional     | kebangsaan, negara, bangsa, patriotis, national
Natal        | hari raya Kristen, perayaan kelahiran Yesus, Christmas, Natal Kristen, perayaan natal
Nelayan      | orang laut, pencari ikan, masyarakat pesisir, penangkap ikan, fisher
Netral       | tidak memihak, seimbang, imparsial, tengah-tengah, objektif
Nirwana      | surga, moksha, ketenangan abadi, kebahagiaan tertinggi, sorga
Nuansa       | nada, variasi kecil, gradasi, corak, subtle difference
Otak         | pikiran, kecerdasan, intellect, brain, akal
Pantang      | dilarang, tabu, haram, tidak boleh, terlarang
Pahala       | ganjaran, balasan baik, reward ilahi, berkah, hadiah Tuhan
Paham        | mengerti, cerna, tangkap, sadar, memahami
Paduan       | kombinasi, gabungan, perpaduan, mix, sinergi
Orang        | manusia, individu, person, warga, makhluk
Obyek        | sasaran, target, benda, hal, subjek
Nyaman       | tenteram, enak, tenang, comfortable, damai
Nusantara    | Indonesia, kepulauan Indonesia, tanah air, archipelago, kepulauan nusantara
Nyawa        | roh, jiwa, nafas, soul, kehidupan
Naskah       | teks, dokumen, manuscript, tulisan, karangan
Naluri       | insting, dorongan alami, instinct, refleks, bawaan
Naif         | polos, lugu, tidak berpengalaman, innocent, lembam
Navigasi     | penunjuk arah, pandu, route finding, arahan, guidance
Negosiasi    | perundingan, tawar-menawar, perundingan, deal, diskusi
Neto         | bersih, net weight, berat bersih, tanpa kemasan, net
Obat         | penyembuhan, medis, resep dokter, farmasi, medicine
Objektivitas | imparsialitas, ketidakberpihakan, netralitas, fairness, kejujuran
Observasi    | pengamatan, pengawasan, pemantauan, research, monitoring
Olahraga     | latihan fisik, aktivitas fisik, senam, sport, exercise
Operasi      | bedah, prosedur, tindakan medis, aksi terencana, operasional
Organisasi   | lembaga, kelompok, komunitas, institution, badan
Orisinal     | asli, otentik, genuine, murni, original
Otomatis     | mandiri, self-operating, tanpa campur tangan, mekanis, automatic
Otonom       | independen, mandiri, berdaulat, autonomous, bebas
Orientasi    | arahan, pengenalan, panduan, fokus, direction
Panas        | hangat, bersuhu tinggi, bara, tidak dingin, hot
Pantai       | tepi laut, pesisir, pantai pasir, bibir laut, coastal
Pasar        | tempat jual beli, bursa, bazaar, market, pusat perdagangan
Pasukan      | tentara, kelompok militer, regu, brigade, unit
Pelajaran    | ilmu, materi ajar, pengalaman berharga, lesson, kurikulum
Pemimpin     | ketua, kepala, pemimpin, leader, boss
Pendidikan   | pengajaran, pembelajaran, edukasi, bimbingan, schooling
Peradaban    | kebudayaan tinggi, civilization, kemajuan budaya, budaya maju, culture
Perhatian    | kepedulian, atensi, interest, minat, concern
Perjuangan   | berjuang, usaha keras, pengorbanan, upaya, struggle
Persatuan    | kesatuan, solidaritas, unity, kekompakan, bersatu
Prestasi     | pencapaian, keberhasilan, achievement, hasil, sukses
Prinsip      | asas, dasar, pedoman, keyakinan, standar
Produktif    | subur, berguna, output banyak, menghasilkan, efisien
Profesional  | ahli, terlatih, kompeten, berpengalaman, expert
Proyek       | rencana, skema, program, initiative, kegiatan
Pahlawan     | hero, pejuang, berjasa, pelindung, champion
Paksa        | tekan, perintah paksa, paksaan, memaksa, coerce
Paling       | ter, paling tinggi, sangat, terbaik, superior
Pamrih       | kepentingan pribadi, imbalan, balas jasa, selfish motive, tidak ikhlas
Pandang      | lihat, tatap, amati, perhatikan, tengok
Panutan      | teladan, contoh, role model, acuan, inspirator
Peduli       | simpati, empati, perhatian, concern, penuh kasih
Pelestarian  | penjagaan, konservasi, preservasi, perlindungan, sustainability
Pemahaman    | pengertian, mengerti, wawasan, comprehension, insighit
Pembangunan  | konstruksi, pengembangan, kemajuan, development, progress
Pengaruh     | dampak, efek, pengaruh, impact, peran
Pengetahuan  | ilmu, wawasan, informasi, knowledge, sains
Pengorbanan  | berkorban, tumbal, dedikasi, sacrifice, kerelaan
Percaya      | yakin, beriman, trust, optimis, meyakini
Perdamaian   | damai, harmonis, rekonsiliasi, resolution, ketenteraman
Perjalanan   | bepergian, trip, perjalanan, tour, traveling
Perubahan    | transformasi, pergeseran, mutasi, change, pembaruan
Pesta        | perayaan, selebrasi, celebration, acara gembira, festival
Pilar        | tiang, penyangga, dasar, kolom, support
Potensi      | kemampuan tersembunyi, bakat, kapasitas, prospek, potential
Prakarsa     | inisiatif, ide pertama, awal bertindak, tindak awal, initiative
Proses       | tahapan, alur, prosedur, serangkaian, flow
Progresif    | maju, berkembang, inovatif, modern, forward-thinking
Proporsional | seimbang, setimpal, sesuai porsi, balanced, adil
Proteksi     | perlindungan, penjagaan, keamanan, safeguard, pertahanan
Publik       | masyarakat umum, rakyat, orang banyak, khalayak, komunal
Pustaka      | perpustakaan, buku, referensi, sumber bacaan, library
Qadha        | putusan Tuhan, ketetapan, takdir, decree, kehendak ilahi
Qadar        | takdir, nasib, ketetapan, peruntungan, kodrat
Qalbu        | hati, sanubari, jiwa, lubuk hati, batin
Qari         | pembaca Al-Quran, murottal, tilawah, ahli baca Al-Quran, qari
Qiraah       | bacaan, tilawah, cara membaca, recitation, metode
Qiyas        | analogi, perbandingan, deduktif, analogical reasoning, pengambilan hukum
Quorum       | jumlah minimum, minimum peserta, kehadiran sah, jumlah syah, kuorum
Raba         | sentuh, pegang, rasakan, explorasi fisik, palpasi
Rajin        | giat, tekun, semangat, aktif, tidak malas
Ramah        | sopan, baik hati, menyenangkan, welcoming, terbuka
Rasa         | perasaan, indera, sensasi, citarasa, empati
Rasional     | logis, masuk akal, berdasar fakta, tidak emosional, sistematis
Rela         | ikhlas, legawa, bersedia, sukarela, willing
Rendah hati  | humble, tidak sombong, tawadhu, sederhana, merendah
Rencana      | program, agenda, rancangan, perencanaan, plan
Respon       | tanggapan, reaksi, balasan, jawaban, response
Ringan       | enteng, mudah, tidak berat, simple, light
Rukun        | harmonis, damai, akur, kompak, toleran
Sabar        | tenang, tahan, tabah, tidak tergesa, bersabar
Semangat     | gairah, motivasi, antusias, spirit, dorongan
Setia        | loyal, taat, tidak berkhianat, patuh, devoted
Sukses       | berhasil, menang, achievement, unggul, win
Syukur       | terima kasih, berterima kasih, rasa syukur, gratitude, puji Tuhan
Taqwa        | takwa, saleh, taat beribadah, piety, devosi
Ragam        | jenis, macam, variasi, tipe, keanekaragaman
Raih         | capai, gapai, dapatkan, obtain, achieve
Rakyat       | warga, penduduk, bangsa, masyarakat, komunitas
Rancang      | rencanakan, desain, buat konsep, draft, skemakan
Rangkul      | peluk, memeluk, dukung penuh, embrace, rangkul erat
Rapi         | tertata, teratur, bersih, organized, beres
Rata         | datar, sejajar, merata, flat, level
Realistis    | praktis, berdasar kenyataan, masuk akal, down to earth, pragmatis
Refleksi     | perenungan, introspeksi, bayangan, self-assessment, mawas diri
Reformasi    | perubahan mendasar, pembaruan, transformasi, restrukturisasi, revolusi
Regenerasi   | pembaruan, peremajaan, rekondisi, refresh, peralihan generasi
Rendah       | bawah, tidak tinggi, pesek, rendah profil, modest
Responsif    | tanggap, cepat, peka, aware, sigap
Revolusi     | perubahan besar, reformasi total, pergolakan, overhaul, transformasi
Ridha        | keridhaan, kerelaan, kepuasan, restu, blessing
Risiko       | bahaya, ancaman, potensi negatif, hazard, danger
Rohani       | spiritual, jiwa, batiniah, non-fisik, immaterial
Romantis     | penuh kasih, mesra, penuh cinta, sweet, tender
Ruang        | tempat, space, area, kawasan, lahan
Rugi         | kerugian, kalah, merugi, defisit, minus
Rutin        | teratur, berkala, periodik, terjadwal, regular
Rumit        | kompleks, sulit, susah, pelik, tidak mudah
Runtuh       | roboh, rubuh, ambruk, collapse, hancur
Rupa         | wajah, penampilan, bentuk fisik, muka, tampang
Rusak        | hancur, tidak berfungsi, cacat, broken, tidak utuh
Syariah      | hukum Islam, aturan Islam, fikih, konstitusi Islam, Islamic law
Saling       | timbal balik, berbalas, mutual, reciprocal, satu sama lain
Santun       | sopan, beradab, halus, etis, berbudi
Sederhana    | simpel, bersahaja, apa adanya, tidak rumit, plain
Sadar        | insaf, tahu, menyadari, sadar diri, conscious
Sahabat      | teman dekat, kawan, kolega, partner, bestie
Sambut       | terima, sambut hangat, menyambut, welcome, ucapkan selamat
Santai       | rileks, tenang, tidak tegang, relaxed, casual
Saran        | anjuran, rekomendasi, petunjuk, advice, masukan
Serius       | sungguh-sungguh, bersungguh, tidak main, fokus, professional
Serasi       | harmonis, cocok, selaras, sinkron, match
Setara       | sama derajat, sejajar, equal, sederajat, tidak ada perbedaan
Siap         | bersiap, siaga, ready, tanggap, persiapkan
Sikap        | perilaku, tingkah laku, attitude, postur, pendirian
Solusi       | jawaban, pemecahan, jalan keluar, cara mengatasi, resolution
Sopan        | santun, beradab, tata krama, etis, menghormati
Sosial       | kemasyarakatan, publik, komunal, sosial bermasyarakat, communal
Strategi     | rencana, taktik, pendekatan, approach, metodologi
Sumber       | asal, mata air, referensi, asal usul, origin
Sungguh      | benar-benar, serius, tidak main, genuinely, truly
Susah        | sulit, tidak mudah, berat, susah payah, keras
Taat         | patuh, tunduk, disiplin, menurut, comply
Tanggung     | bertanggung jawab, emban, bawa, pikul, responsible
Teguh        | kuat, kokoh, tidak goyah, solid, mantap
Tekun        | rajin, giat, bersungguh, penuh dedikasi, persevering
Toleransi    | saling menghargai, toleran, keterbukaan, acceptance, respect
Tradisi      | budaya, kebiasaan turun-temurun, adat, ritual, warisan
Tulus        | ikhlas, tanpa pamrih, jujur hati, sincere, genuine
Tuntas       | selesai, rampung, lengkap, complete, habis
Ulet         | gigih, tidak menyerah, tekun, persistent, pantang mundur
Unggul       | terbaik, superior, lebih tinggi, outstanding, terdepan
Tabah        | sabar, kuat, tahan banting, resilient, tidak putus asa
Takluk       | menyerah, kalah, tunduk, surrender, bow down
Tanggap      | responsif, peka, cepat merespons, aware, sigap
Tarbiyah     | pendidikan, pembinaan, pembentukan karakter, edukasi, pengembangan
Tegar        | kokoh, kuat, tidak goyah, resilient, tak tergoyahkan
Teladani     | contoh, ikuti, tiru, jadikan panutan, follow
Terbuka      | transparan, open, mau menerima, tidak tertutup, accessible
Terencana    | tersusun, dipersiapkan, sistematis, planned, matang
Tertib       | teratur, disiplin, rapi, sesuai aturan, orderly
Tindakan     | perbuatan, langkah, aksi, action, aktivitas
Tulus ikhlas | murni, tanpa pamrih, ikhlas total, jujur sepenuh hati, pure hearted
Turun        | menurun, ke bawah, jatuh, merosot, descend
Ucapan       | perkataan, kata-kata, ujaran, kalimat, statement
Ulasan       | tinjauan, review, komentar, analisis, pembahasan
Unifikasi    | penyatuan, penggabungan, integrasi, merging, unification
Upaya        | usaha, ikhtiar, daya, attempt, effort
Utama        | pokok, terpenting, utama, primer, terdepan
Visi         | pandangan jauh, misi masa depan, gambaran ideal, mimpi besar, visioner
Wadah        | tempat, penampung, kontainer, sarana, vehicle
Wawasan      | pengetahuan, pandangan, knowledge, horizon, pemahaman
Wibawa       | karisma, kharisma, martabat, prestige, kehormatan
Yaqin        | yakin, percaya, mantap, not doubt, konviksi
Tabiat       | watak, sifat, kepribadian, karakter, bawaan
Takdir       | nasib, peruntungan, ketetapan Tuhan, fate, kodrat
Takwa        | devosi, saleh, piety, taat beragama, devout
Tampil       | muncul, hadir, perform, present, menunjukkan
Tanamkan     | tanam, masukkan nilai, internalisasi, install, install nilai
Ubah         | ganti, transformasi, modifikasi, konversi, revisi
Uji          | tes, coba, periksa, evaluasi, verifikasi
Ukuran       | besaran, dimensi, standar, measure, patokan
Ulang        | ulangi, lakukan lagi, repeat, redo, ulang kembali
Umpan        | bait, penarik, godaan, tipuan, lure
Umum         | publik, semua, berlaku luas, general, populer
Untung       | laba, beruntung, profit, gain, keberuntungan
Urai         | jelaskan rinci, detailkan, breakdown, kupas, uraikan
Urgen        | mendesak, penting, urgent, kritis, harus segera
Usaha        | upaya, ikhtiar, bisnis, kerja keras, effort
Utuh         | lengkap, tidak rusak, intact, penuh, sempurna
Uzur         | halangan, rintangan, alasan, hambatan, maaf
Varian       | jenis, tipe, varian, berbagai macam, variasi
Vital        | penting, esensial, kritis, urgent, indispensable
Wajar        | normal, sesuai, layak, pantas, reasonable
Waktu        | masa, saat, durasi, momen, periode
Warga        | anggota, penduduk, rakyat, citizen, komunitas
Waspada      | siaga, awas, berhati-hati, alert, waspada
Zaman        | era, masa, periode, kurun, age
Ubiquitous   | ada di mana-mana, merata, universal, omnipresent, tersebar luas
Ukhrawi      | akhirat, agamawi, spiritual, keagamaan, ilahi
Ulil albab   | orang berakal, bijaksana, cendekia, intelektual Islam, pemilik akal budi
Ummah        | umat, komunitas, warga, bangsa, fellowship
Universitas  | perguruan tinggi, kampus, sekolah tinggi, institusi pendidikan, college
Urgensi      | kedesakan, penting segera, kegentingan, urgency, keperluan mendesak
Ustaz        | guru agama, pengajar Islam, imam, dai, ulama
Validasi     | verifikasi, pembuktian, konfirmasi, check, persetujuan
Variabel     | faktor, unsur, parameter, variable, elemen
Variasi      | ragam, perbedaan, diversity, varian, keberagaman
Ventilasi    | sirkulasi udara, aerasi, pertukaran udara, ventilation, angin masuk
Verifikasi   | pembuktian, konfirmasi, check, validasi, pengecekan
Versi        | edisi, varian, jenis, format, volume
Veteran      | mantan militer, pejuang lama, berpengalaman, purnawirawan, ekspat
Visi         | pandangan, misi jangka panjang, harapan masa depan, tujuan besar, impian
Vokasi       | keterampilan kerja, vocational, profesi, kecakapan, latihan kerja
Volume       | isi, kapasitas, ukuran, besar, bunyi
Wakaf        | sedekah harta, amal jariyah, sumbangan keagamaan, endowment, donasi permanen
Wajib        | keharusan, fardhu, tidak bisa ditawar, mandatory, obligasi
Warisan      | peninggalan, pusaka, harta turun-temurun, legacy, inheritance
Wisata       | perjalanan, tour, rekreasi, traveling, liburan
Yayasan      | lembaga nirlaba, badan sosial, foundation, organisasi sosial, instansi
Zikir        | doa berulang, tasbih, kalimah suci, dzikir, ibadah lisan
Viral        | trending, menyebar cepat, populer, booming, hot
Virtual      | digital, maya, tidak fisik, online, cyber
Visioner     | berpandangan jauh, futuristis, forward-thinking, masa depan, progresif
Vokabular    | kosakata, perbendaharaan kata, vocabulary, leksikon, kata-kata
Volatil      | tidak stabil, fluktuatif, berubah-ubah, labil, unstable
Volunter     | relawan, sukarela, voluntary, pegiat sosial, tanpa bayar
Vulgar       | kasar, tidak sopan, tidak pantas, crude, tidak beradab
Wacana       | diskursus, diskusi, pemikiran, tulisan, narasi
Wafat        | meninggal, mangkat, berpulang, mati, tutup usia
Wanita       | perempuan, putri, wanita dewasa, ladies, gadis
Wujud        | bentuk, rupa, tampilan, eksistensi, keberadaan
Wewenang     | otoritas, hak, kuasa resmi, mandat, prerogative
Wahai        | hai, hey, panggilan, seruan, oh
Waras        | sehat akal, normal, tidak gila, sane, berpikir jernih
Waris        | ahli waris, pewaris, penerus, beneficiary, keturunan
Wasiat       | amanat, pesan akhir, pernyataan terakhir, will, testament
Wawancara    | tanya jawab, interview, diskusi, dialog, percakapan
Welas asih   | belas kasih, empati, kasih sayang, peduli, compassion
Wirausaha    | pengusaha, entrepreneur, wiraswasta, pebisnis, self-employed
Wujudkan     | realisasikan, wujudkan, laksanakan, execute, capai
Ximenia      | tumbuhan tropis, genus tanaman, jenis pohon, tanaman berbuah, flora tropis
Xenofobia    | takut orang asing, kebencian terhadap asing, intoleransi, racism, prasangka
Yatim        | anak tanpa ayah, piatu, anak yatim, tanpa orang tua, orphan
Yel          | teriakan semangat, sorakan, seruan, cheer, sorak
Zakat        | kewajiban Islam, infaq, shodaqoh, rukun Islam, amal wajib
Zalim        | kejam, aniaya, tirani, tidak adil, oppressor
Zona         | kawasan, wilayah, daerah, area, bagian
Wortel       | sayuran oranye, sayuran kaya vitamin A, carrot, lobak merah, sayuran
Wujud        | bentuk, rupa, tampilan fisik, penampakan, keberadaan nyata
Waspada      | siaga, awas, berhati-hati, alert, hati-hati
Warung       | kedai, kios, toko kecil, lapak, gerai
Wilayah      | daerah, kawasan, area, zona, region
Wiraswasta   | pengusaha, mandiri, self-employed, wirausaha, pebisnis
Wisata       | liburan, tour, rekreasi, traveling, perjalanan
Yudisial     | hukum pengadilan, kehakiman, legal, judicative, peradilan
Yunani       | Hellas, negara kuno Eropa, Yunani Kuno, Hellenic, Greek
Zakar        | organ vital, kelamin laki-laki, penis, alat reproduksi, anggota badan
Zakat fitrah | zakat wajib Ramadan, fitrah, infak, sedekah wajib, kewajiban akhir puasa
Xenia        | mobil keluarga, kendaraan niaga, MPV, kendaraan keluarga, mid-size car
Xenial       | ramah tamah, suka menjamu, hospitable, welcoming, terbuka
Xerosis      | kulit kering, kulit bersisik, kekeringan kulit, dry skin, kelainan kulit
Xylem        | jaringan pembuluh, jaringan tumbuhan, vascular tissue, akar batang, pembuluh kayu
Xerofit      | tanaman kering, tanaman gurun, tumbuhan sukulen, desert plant, kaktus
Xantofil     | pigmen tumbuhan, zat warna kuning, karotenoid, pigmen fotosintesis, klorofil kuning
Xerografi    | fotokopi, cetak statis, photocopying, percetakan bubuk toner, reprografi
Xenotransplantasi | cangkok lintas spesies, transplantasi hewan ke manusia, xenograft, organ asing, implantasi
Xylopon      | alat musik pukul, instrumen kayu, gambang, marimbah, perkusi
Xilofon      | gambang, instrumen pukul, xylopon, alat musik kayu, marimbah
Yustisi      | kehakiman, peradilan, hukum, judicial, keadilan hukum
Ziarah       | berkunjung ke makam, ziarah kubur, kunjungan suci, pilgrim, devosi
Zina         | perbuatan melanggar, seks haram, perzinahan, adultery, maksiat
Zinnia       | bunga zinnia, tanaman berbunga, flora Meksiko, ornamental plant, kembang zinnia
Zodiak       | rasi bintang, astrologi, horoskop, bintang kelahiran, ramalan bintang
Zoogeografi  | persebaran hewan, distribusi fauna, biogeografi, animal geography, ekologi fauna
Zoologi      | ilmu hewan, biologi hewan, fauna, zoological, kajian hewan
Zygote       | sel telur yang dibuahi, sel fertil, zigot awal, embrio pertama, hasil pembuahan
Zirkon       | batu permata, kristal mineral, mineral keras, zirconium silicate, permata
Zaman edan   | masa kacau, zaman gila, era aneh, periode tidak wajar, masa anomali
Yuyun        | nama perempuan, nama ikan, ikan lokal, ikan air tawar, nama khas
Yadnya       | persembahan Hindu, ritual Hindu Bali, pemujaan, kurban suci, offering
Yasinan      | membaca yasin, tahlilan, doa bersama, pengajian, kegiatan religi
Yel-yel      | sorakan, seruan semangat, chant, nyanyian motivasi, cheer
Yoyo         | mainan anak, mainan tali, spin toy, permainan tradisional, hiburan
Yunani kuno  | peradaban Yunani, Hellas kuno, antiquitas Yunani, Greek civilization, era Hellenistik
Yurisdiksi   | kewenangan hukum, yurisdiksi pengadilan, wilayah hukum, jurisdiction, kompetensi hukum
Yayasan sosial| lembaga sosial, NGO, badan nirlaba, LSM, non-profit
Yaumul qiyamah| hari kiamat, akhir zaman, hari kebangkitan, doomsday, hari akhir
Yakin        | percaya, mantap, pasti, konviksi, convinced
Yang         | yang, penanda, penunjuk, pihak, that/which
Yatim piatu  | anak yatim, tanpa orang tua, orphan, tidak berayah ibu, anak piatu
Yoghurt      | susu fermentasi, produk susu, probiotik, dairy, olahan susu
Yogi         | pertapa spiritual, praktisi yoga, asketis, meditator, spiritual practitioner
Yuran        | iuran, biaya berkala, kontribusi, membership fee, cicilan
Yuridis      | legal, hukum, sah secara hukum, juridical, berdasar hukum
Yaumul hisab | hari perhitungan amal, hari hisab, penghitungan akhirat, accountability day, akhir zaman
Yaumul mizan | hari penimbangan, hari mizan, akhirat, judgement day, hari balasan
Ziarah kubur | kunjungan makam, doa di kuburan, ziarah, mengirim doa, mendoakan almarhum
Zamannya     | eranya, masanya, periodenya, era tersebut, kurun waktu itu
Zakat mal    | zakat harta, zakat kekayaan, infak wajib, kewajiban finansial, sedekah wajib
Zalzalah     | gempa bumi, keguncangan, guncangan dasyat, earthquake, surat Al-Quran
Zaman keemasan| puncak kejayaan, era keemasan, golden age, masa terbaik, periode gemilang
Zenith       | puncak, titik tertinggi, klimaks, apex, the peak
Zikir pagi   | dzikir subuh, amalan pagi, doa pagi, morning prayer, ibadah pagi
Zionis       | pendukung Israel, gerakan Zionisme, nasionalis Yahudi, Zionism, pro-Israel
Zona nyaman  | comfort zone, kondisi aman, daerah nyaman, area tenang, safe space
Zodiak Barat | astrologi Barat, bintang zodiak, ramalan bintang Barat, horoskop Barat, Western astrology
Zooterapi    | terapi hewan, animal-assisted therapy, pet therapy, biophilia therapy, terapi binatang
Zooplankton  | plankton hewan, mikroorganisme laut, hewan mikro, marine plankton, biota laut kecil
Zwitterion   | ion ganda, ion amfoterik, molekul dipolar, amphoteric ion, ion bermuatan ganda
Zarif        | elegan, anggun, berkelas, stylish, penuh selera
Zeal         | semangat membara, antusias, gairah kuat, passion, ghirah
Zafaran      | safran, rempah kuning, saffron, bumbu berharga, kunyit safron
Zahid        | asketis, pertapa, zuhud, tidak materialistis, sederhana
Zahir        | tampak, terlihat, nyata, lahiriah, terbuka
Zamrud       | batu hijau, permata hijau, emerald, batu mulia, batu berharga
Zat          | materi, bahan, substansi, material, unsur
Zuhud        | asketisme, tidak terpaut dunia, sederhana, zuhud, tawadhu
Zuriat       | keturunan, anak cucu, ahli waris, generasi, posteritas
Zonasi       | pembagian zona, pembagian wilayah, penataan ruang, zoning, klasifikasi wilayah
Zymase       | enzim fermentasi, katalis gula, biokimia, enzyme, zat katalis
Zygospora    | spora gabungan, spora jamur, sporulasi, reproductive spore, spora reproduksi
Zig-zag      | belok-belok, bolak-balik, tak lurus, berkelok, not straight
Ziggurat     | menara bertingkat, candi Mesopotamia, bangunan suci kuno, pyramida Mesopotamia, altar tingkat
Zimografi    | analisis enzim, electrophoresis, gel analysis, enzyme detection, teknik biokimia
Zinober      | merah cerah, pigmen merah, vermilion, warna mencolok, scarlet
Zirkonium    | logam transisi, unsur kimia, Zr, metal zirconium, bahan kimia
Zoas         | larva kepiting, larva krustasea, larva muda, young larvae, stadium larva
Zombifikasi  | perbudakan pikiran, kontrol total, deprivasi kehendak, manipulation total, dehumanisasi
Zonula       | sabuk kecil, struktur kecil, cincin kecil, ligamen halus, zona tipis
Zygodaktil   | jari berpasangan, kaki burung, anatomi kaki burung, jari berhadapan, toe configuration
Zigot        | sel pertama, sel hasil pembuahan, embrio awal, fertilized egg, sel fertil
Zimurgi      | fermentasi, ilmu fermentasi, brewing science, pembuatan bir, bioteknologi fermentasi
