         Format: Kata | Kelas Kata | Arti / Definisi
Karakter     | Nomina     | Sifat dan watak khas seseorang yang membedakannya
Kebijakan    | Nomina     | Ketetapan pimpinan yang menjadi pedoman bertindak
Keberhasilan | Nomina     | Pencapaian tujuan dengan sukses
Kebudayaan   | Nomina     | Hasil cipta, karsa, dan rasa manusia dalam masyarakat
Kehormatan   | Nomina     | Harga diri; rasa hormat yang diterima dari orang lain
Keteladanan  | Nomina     | Contoh sikap dan perilaku baik yang patut diteladani
Kreativitas  | Nomina     | Kemampuan mencipta hal baru yang orisinal dan bermanfaat
Kritis       | Adjektiva  | Tajam dalam menganalisis; peka terhadap masalah
Kualitas     | Nomina     | Tingkat baik atau buruknya sesuatu; mutu
Jabat        | Verba      | Memegang tangan orang lain sebagai salam
Jagoan       | Nomina     | Orang yang diunggulkan; jagoan; pahlawan dalam cerita
Jahat        | Adjektiva  | Bersifat buruk; berbuat salah; tidak bermoral
Jalan        | Nomina     | Tempat untuk berlalu lalang; cara untuk mencapai tujuan
Jangkauan    | Nomina     | Batas yang bisa dicapai; kemampuan menjangkau
Janji        | Nomina     | Kesanggupan yang diucapkan untuk dilaksanakan
Jawara       | Nomina     | Juara; orang yang menang dalam pertandingan
Jejaring     | Nomina     | Jaringan; hubungan yang saling terkait antarpihak
Jimat        | Nomina     | Benda yang dipercaya membawa keberuntungan atau perlindungan
Jinakkan     | Verba      | Membuat hewan liar menjadi tidak berbahaya dan penurut
Jogetan      | Nomina     | Tarian; gerakan tubuh mengikuti irama musik
Jujukan      | Nomina     | Urutan; rangkaian yang tersusun secara berurutan
Jumlah       | Nomina     | Banyaknya sesuatu; total dari penggabungan beberapa hal
Juntrung     | Nomina     | Arah; tujuan; ke mana sesuatu menuju
Jurnalis     | Nomina     | Wartawan; orang yang bekerja mengumpulkan dan menyebarkan berita
Kabut        | Nomina     | Uap air yang berkumpul dekat permukaan tanah mengaburkan pandangan
Kaji         | Verba      | Mempelajari dengan teliti; menganalisis secara mendalam
Kalangan     | Nomina     | Kelompok atau golongan dalam masyarakat
Kampung      | Nomina     | Desa; pemukiman kecil di luar kota
Karunia      | Nomina     | Anugerah; pemberian dari Tuhan yang sangat berharga
Kasih        | Nomina     | Rasa cinta dan sayang yang tulus kepada seseorang
Kawan        | Nomina     | Teman; sahabat; orang yang akrab bergaul
Kebenaran    | Nomina     | Hal yang sesuai dengan fakta dan kenyataan
Kebersamaan  | Nomina     | Keadaan bersama-sama; rasa saling memiliki dalam kelompok
Kehidupan    | Nomina     | Proses menjalani hidup; segala aktivitas makhluk hidup
Kejujuran    | Nomina     | Sifat jujur; ketulusan hati dalam berkata dan bertindak
Kekuatan     | Nomina     | Kemampuan fisik atau mental; daya yang dimiliki
Kemerdekaan  | Nomina     | Keadaan bebas dari penjajahan; kebebasan
Kemampuan    | Nomina     | Kesanggupan melakukan sesuatu; kapasitas dan keahlian
Kemandirian  | Nomina     | Kemampuan berdiri sendiri tanpa bergantung pada orang lain
Komunitas    | Nomina     | Kelompok orang dengan kepentingan atau kesamaan tertentu
Koreksi      | Verba      | Memperbaiki kesalahan; membetulkan yang kurang tepat
Krisis       | Nomina     | Keadaan berbahaya; saat genting yang membutuhkan solusi cepat
Kabar        | Nomina     | Informasi; berita tentang suatu kejadian
Kadang       | Adverbia   | Sewaktu-waktu; tidak selalu; sesekali
Kaget        | Adjektiva  | Terkejut; kaget mendadak karena sesuatu yang tidak terduga
Kalah        | Verba      | Tidak menang; dikalahkan oleh lawan
Kamar        | Nomina     | Ruangan tertutup dalam rumah untuk beristirahat
Kampanye     | Nomina     | Kegiatan penyebaran informasi untuk memengaruhi pendapat
Keahlian     | Nomina     | Kemampuan khusus yang diperoleh dari latihan dan pengalaman
Keadilan     | Nomina     | Perlakuan yang sama rata tanpa pilih kasih
Kebahagiaan  | Nomina     | Perasaan senang dan puas dalam menjalani kehidupan
Kebebasan    | Nomina     | Keadaan tidak terikat; hak untuk bertindak sesuai keinginan
Keberanian   | Nomina     | Sifat berani; tidak takut menghadapi bahaya
Kedamaian    | Nomina     | Keadaan tenang, tenteram, tanpa perselisihan
Keindahan    | Nomina     | Kualitas estetika; hal yang menyenangkan ketika dilihat
Keinginan    | Nomina     | Hasrat; sesuatu yang ingin diperoleh atau diwujudkan
Kejadian     | Nomina     | Sesuatu yang terjadi; peristiwa yang berlangsung
Keluarga     | Nomina     | Ibu, ayah, dan anak-anak yang tinggal bersama
Kemanfaatan  | Nomina     | Nilai guna; tingkat kebermanfaatan sesuatu bagi kehidupan
Kenangan     | Nomina     | Ingatan tentang masa lalu; peristiwa yang terus diingat
Kesehatan    | Nomina     | Kondisi tubuh yang baik dan bebas dari penyakit
Kesetiaan    | Nomina     | Sifat setia; tidak berkhianat kepada janji dan komitmen
Keterbukaan  | Nomina     | Sifat terbuka; tidak menutup-nutupi informasi
Ketulusan    | Nomina     | Sifat tulus; tanpa pamrih dalam berbuat sesuatu
Ketuntasan   | Nomina     | Kondisi selesai dengan tuntas; tidak setengah-setengah
Kewajiban    | Nomina     | Sesuatu yang harus dilakukan; tugas yang mengikat
Kewirausahaan| Nomina     | Kemampuan menciptakan usaha sendiri dengan kreativitas
Khidmat      | Adjektiva  | Penuh rasa hormat; sungguh-sungguh dan serius
Kodrat       | Nomina     | Sifat bawaan; takdir yang telah ditetapkan oleh Tuhan
Komitmen     | Nomina     | Janji yang kuat; kesanggupan yang sungguh-sungguh
Kompeten     | Adjektiva  | Mampu; memiliki keahlian yang diperlukan
Konsisten    | Adjektiva  | Tetap pada pendirian; tidak berubah-ubah
Kontribusi   | Nomina     | Sumbangan; bagian yang diberikan untuk suatu tujuan bersama
Lahan        | Nomina     | Tanah yang dimanfaatkan untuk suatu keperluan
Lambang      | Nomina     | Tanda atau gambar yang mewakili suatu makna
Laut         | Nomina     | Perairan asin luas yang mengelilingi daratan
Layak        | Adjektiva  | Patut; sesuai; memenuhi syarat yang diperlukan
Lebih        | Adverbia   | Melebihi batas; melampaui jumlah atau ukuran tertentu
Lembaga      | Nomina     | Organisasi resmi yang menjalankan fungsi tertentu
Lembar       | Nomina     | Helaian tipis; satu halaman kertas
Lengkap      | Adjektiva  | Tidak ada yang kurang; sudah terpenuhi semuanya
Lestari      | Adjektiva  | Tetap keadaannya; abadi; terjaga kelestariannya
Lincah       | Adjektiva  | Gesit dan tangkas; mudah bergerak dengan cepat
Lisan        | Nomina     | Secara lisan; disampaikan melalui mulut bukan tulisan
Logika       | Nomina     | Cara berpikir yang masuk akal; penalaran yang benar
Loyal        | Adjektiva  | Setia; selalu mendukung tanpa ragu
Lugas        | Adjektiva  | Terus terang; tidak berbelit-belit
Luhur        | Adjektiva  | Mulia; tinggi nilai moralnya; agung
Lukisan      | Nomina     | Gambar yang dibuat dengan cat di atas kanvas
Luwes        | Adjektiva  | Supel; mudah menyesuaikan diri; tidak kaku
Maju         | Verba      | Bergerak ke depan; berkembang lebih baik
Makna        | Nomina     | Arti; pengertian yang terkandung dalam kata atau kalimat
Mandiri      | Adjektiva  | Tidak bergantung kepada orang lain; berdiri sendiri
Manfaat      | Nomina     | Kegunaan; faedah yang diperoleh dari sesuatu
Masyarakat   | Nomina     | Kelompok orang yang hidup bersama dalam suatu wilayah
Masukan      | Nomina     | Saran; pendapat yang diberikan untuk perbaikan
Merdeka      | Adjektiva  | Bebas; tidak dijajah; punya kedaulatan sendiri
Modal        | Nomina     | Uang atau barang yang digunakan untuk usaha
Motivasi     | Nomina     | Dorongan yang menguatkan keinginan untuk bertindak
Mulia        | Adjektiva  | Berbudi luhur; tinggi derajatnya; terhormat
Murni        | Adjektiva  | Tidak tercampur; asli; bersih tanpa campuran apapun
Musyawarah   | Nomina     | Perundingan bersama untuk mencapai mufakat
Nafsu        | Nomina     | Keinginan kuat; dorongan dari dalam diri
Nalar        | Nomina     | Kemampuan berpikir secara logis dan teratur
Nilai        | Nomina     | Harga; ukuran baik buruknya sesuatu; angka penilaian
Norma        | Nomina     | Aturan yang berlaku dalam masyarakat sebagai pedoman
Nurani       | Nomina     | Hati sanubari; suara hati yang membedakan benar dan salah
Maaf         | Nomina     | Permintaan ampun karena kesalahan yang diperbuat
Mahir        | Adjektiva  | Sangat terampil; sangat menguasai suatu bidang
Makhluk      | Nomina     | Semua yang diciptakan Tuhan; setiap jenis makhluk hidup
Mampu        | Adjektiva  | Sanggup; memiliki kemampuan untuk melakukan sesuatu
Mantap       | Adjektiva  | Kokoh; yakin; tidak goyah pendiriannya
Marah        | Adjektiva  | Merasa tidak senang dan kesal; emosi yang panas
Masa         | Nomina     | Waktu; jangka waktu tertentu
Masalah      | Nomina     | Hal yang menimbulkan kesulitan; persoalan yang harus dipecahkan
Mata         | Nomina     | Organ penglihatan manusia dan hewan
Matang       | Adjektiva  | Sudah siap; sudah berkembang penuh; tidak mentah
Mawas diri   | Nomina     | Introspeksi; kemampuan mengoreksi diri sendiri
Mekar        | Verba      | Berkembang; tumbuh membuka seperti bunga yang mekar
Menang       | Verba      | Berhasil mengalahkan lawan; meraih kemenangan
Menghargai   | Verba      | Memberikan penghargaan; menganggap berharga
Menjaga      | Verba      | Merawat; memelihara agar tetap baik
Menyadari    | Verba      | Memahami dan mengakui kenyataan yang ada
Minat        | Nomina     | Kecenderungan hati yang tinggi terhadap sesuatu
Misi         | Nomina     | Tujuan khusus; tugas yang harus diselesaikan
Moderasi     | Nomina     | Sikap tidak berlebihan; jalan tengah yang seimbang
Moral        | Nomina     | Ajaran tentang baik buruk perbuatan; akhlak
Murid        | Nomina     | Pelajar; orang yang belajar di sekolah
Musim        | Nomina     | Kurun waktu dalam setahun dengan ciri cuaca tertentu
Nasib        | Nomina     | Takdir; peruntungan yang ditetapkan Tuhan
Nasihat      | Nomina     | Ajaran baik; petunjuk yang diberikan untuk kebaikan
Negara       | Nomina     | Kesatuan wilayah dengan pemerintahan berdaulat
Niat         | Nomina     | Maksud; tujuan yang ada dalam hati sebelum berbuat
Nikmat       | Adjektiva  | Terasa enak; menyenangkan; memuaskan
Nomor        | Nomina     | Bilangan yang menunjukkan urutan atau identitas
Normatif     | Adjektiva  | Berdasarkan norma; sesuai standar yang berlaku
Nyata        | Adjektiva  | Benar-benar ada; tidak palsu; terbukti kebenarannya
Obyektif     | Adjektiva  | Tidak memihak; berdasarkan fakta bukan perasaan
Otoritas     | Nomina     | Kewenangan resmi; kekuasaan yang diakui
Optimis      | Adjektiva  | Selalu berpandangan positif terhadap masa depan
Nada         | Nomina     | Tinggi rendahnya bunyi; irama; intonasi suara
Nafas        | Nomina     | Udara yang keluar masuk dari hidung dan mulut saat bernapas
Naik         | Verba      | Bergerak ke tempat yang lebih tinggi; meningkat
Nampan       | Nomina     | Baki; alas datar untuk membawa makanan atau minuman
Nampak       | Verba      | Terlihat; tampak oleh mata; kelihatan
Nangkring    | Verba      | Duduk atau bertengger di tempat yang tinggi
Narasi       | Nomina     | Cerita; penuturan urutan kejadian dengan kata-kata
Nasional     | Adjektiva  | Bersifat kebangsaan; milik seluruh bangsa
Natal        | Nomina     | Hari raya umat Kristen merayakan kelahiran Yesus
Nelayan      | Nomina     | Orang yang mencari nafkah dengan menangkap ikan di laut
Netral       | Adjektiva  | Tidak memihak salah satu pihak; bersikap tengah-tengah
Nirwana      | Nomina     | Keadaan sempurna; surga; ketenangan abadi dalam ajaran Buddha
Normatif     | Adjektiva  | Bersifat menentukan norma; sesuai dengan standar
Nuansa       | Nomina     | Perbedaan kecil dalam warna, makna, atau ekspresi
Otak         | Nomina     | Organ dalam kepala yang mengatur semua fungsi tubuh
Pantang      | Adjektiva  | Tidak boleh dilakukan karena adat atau kepercayaan
Pahala       | Nomina     | Balasan kebaikan dari Tuhan atas amal perbuatan
Paham        | Verba      | Mengerti; memiliki pemahaman tentang sesuatu
Paduan       | Nomina     | Gabungan harmonis dari beberapa unsur
Orang        | Nomina     | Manusia; individu yang menjadi bagian masyarakat
Obyek        | Nomina     | Sasaran; benda atau hal yang menjadi perhatian
Nyaman       | Adjektiva  | Merasa enak dan tenteram; tidak ada gangguan
Nusantara    | Nomina     | Kepulauan Indonesia; wilayah seluruh kepulauan Indonesia
Nyawa        | Nomina     | Roh; jiwa yang menghidupkan makhluk hidup
Naskah       | Nomina     | Teks tertulis; dokumen asli karangan seseorang
Naluri       | Nomina     | Dorongan alami yang muncul tanpa dipelajari
Naif         | Adjektiva  | Polos; kurang berpengalaman; mudah diperdaya
Navigasi     | Nomina     | Ilmu atau cara menentukan arah perjalanan
Negosiasi    | Nomina     | Perundingan untuk mencapai kesepakatan bersama
Neto         | Nomina     | Berat bersih setelah dikurangi kemasan atau bungkus
Obat         | Nomina     | Bahan untuk menyembuhkan penyakit
Objektivitas | Nomina     | Sifat tidak memihak; penilaian berdasarkan fakta
Observasi    | Nomina     | Pengamatan secara cermat dan sistematis
Olahraga     | Nomina     | Aktivitas fisik untuk menjaga kesehatan tubuh
Operasi      | Nomina     | Tindakan bedah; kegiatan terencana yang terkoordinasi
Organisasi   | Nomina     | Kelompok yang bekerja bersama menuju tujuan bersama
Orisinal     | Adjektiva  | Asli; tidak ditiru; bersumber dari sendiri
Otomatis     | Adjektiva  | Bekerja sendiri tanpa campur tangan manusia
Otonom       | Adjektiva  | Mandiri; berhak mengurus dirinya sendiri
Orientasi    | Nomina     | Pengenalan awal; arah pandangan atau tujuan hidup
Panas        | Adjektiva  | Bersuhu tinggi; terasa seperti terbakar
Pantai       | Nomina     | Tepi laut; daerah antara daratan dan lautan
Pasar        | Nomina     | Tempat bertemunya penjual dan pembeli
Pasukan      | Nomina     | Kelompok tentara yang bergerak bersama
Pelajaran    | Nomina     | Materi yang diajarkan; pengalaman berharga
Pemimpin     | Nomina     | Orang yang memimpin; kepala dari suatu kelompok
Pendidikan   | Nomina     | Proses belajar mengajar untuk mengembangkan potensi diri
Peradaban    | Nomina     | Tingkat kemajuan suatu bangsa dalam ilmu dan budaya
Perhatian    | Nomina     | Minat dan kepedulian terhadap sesuatu
Perjuangan   | Nomina     | Usaha keras dengan penuh pengorbanan
Persatuan    | Nomina     | Keadaan bersatu; kesatuan yang kokoh
Prestasi     | Nomina     | Hasil yang dicapai dengan kerja keras dan kemampuan
Prinsip      | Nomina     | Dasar; pedoman yang dipegang teguh
Produktif    | Adjektiva  | Menghasilkan banyak; berdaya guna tinggi
Profesional  | Adjektiva  | Sesuai standar keahlian; bersikap seperti ahlinya
Proyek       | Nomina     | Rencana kerja dengan tujuan dan batas waktu tertentu
Pahlawan     | Nomina     | Orang yang berjasa besar bagi nusa dan bangsa
Paksa        | Verba      | Memaksa orang lain melakukan sesuatu di luar kehendak
Paling       | Adverbia   | Menunjukkan tingkat tertinggi; ter-
Pamrih       | Nomina     | Keinginan mengharapkan imbalan dari perbuatan baik
Pancasila    | Nomina     | Dasar negara Indonesia yang terdiri dari lima sila
Pandang      | Verba      | Melihat; menatap ke suatu arah
Panutan      | Nomina     | Teladan; contoh yang patut diikuti
Peduli       | Adjektiva  | Memperhatikan dan merasakan nasib orang lain
Pelestarian  | Nomina     | Upaya menjaga agar sesuatu tetap ada dan terjaga
Pemahaman    | Nomina     | Tingkat pengertian seseorang terhadap sesuatu
Pembangunan  | Nomina     | Proses membangun untuk kemajuan dan kesejahteraan
Pengaruh     | Nomina     | Daya yang memengaruhi orang atau keadaan
Pengetahuan  | Nomina     | Informasi dan pemahaman yang dimiliki seseorang
Pengorbanan  | Nomina     | Rela melepaskan sesuatu demi orang lain atau tujuan mulia
Percaya      | Verba      | Yakin akan kebenaran atau keandalan seseorang
Perdamaian   | Nomina     | Kondisi tidak ada perang atau perselisihan
Perjalanan   | Nomina     | Kegiatan bepergian dari satu tempat ke tempat lain
Perubahan    | Nomina     | Proses beralih dari satu keadaan ke keadaan lain
Pesta        | Nomina     | Perayaan; kegiatan meriah untuk memperingati sesuatu
Pilar        | Nomina     | Tiang penyangga; dasar yang kuat mendukung sesuatu
Potensi      | Nomina     | Kemampuan yang masih tersembunyi dan bisa dikembangkan
Prakarsa     | Nomina     | Inisiatif; tindakan yang dimulai sendiri tanpa disuruh
Proses       | Nomina     | Rangkaian langkah untuk mencapai suatu hasil
Progresif    | Adjektiva  | Berpikiran maju; selalu berkembang ke arah yang lebih baik
Proporsional | Adjektiva  | Sesuai ukuran dan porsi yang semestinya
Proteksi     | Nomina     | Perlindungan terhadap bahaya atau ancaman dari luar
Publik       | Nomina     | Masyarakat umum; semua orang secara luas
Pustaka      | Nomina     | Buku; perpustakaan; sumber ilmu pengetahuan
Qadha        | Nomina     | Putusan Allah; ketetapan Tuhan atas nasib makhluk-Nya
Qadar        | Nomina     | Takdir; ukuran yang ditetapkan Tuhan untuk setiap makhluk
Qalbu        | Nomina     | Hati; lubuk hati tempat perasaan dan keyakinan bersemayam
Qari         | Nomina     | Pembaca Al-Quran dengan suara merdu dan bacaan yang indah
Qiraah       | Nomina     | Cara membaca Al-Quran dengan metode tertentu
Qiyas        | Nomina     | Metode penetapan hukum dengan analogi dalam fiqh Islam
Quorum       | Nomina     | Jumlah minimum anggota yang harus hadir agar rapat sah
Raba         | Verba      | Menyentuh dengan tangan untuk merasakan tekstur benda
Rajin        | Adjektiva  | Giat bekerja atau belajar; tidak malas
Ramah        | Adjektiva  | Bersikap baik hati dan menyenangkan kepada orang lain
Rasa         | Nomina     | Pengalaman indra terhadap rasa, emosi, dan perasaan
Rasional     | Adjektiva  | Masuk akal; berdasarkan logika dan fakta
Rela         | Adjektiva  | Bersedia dengan ikhlas; tidak keberatan
Rendah hati  | Adjektiva  | Tidak sombong; tahu diri; merendahkan ego
Rencana      | Nomina     | Sesuatu yang dipikirkan dan disiapkan sebelum dilakukan
Respon       | Nomina     | Tanggapan; reaksi terhadap suatu rangsangan
Ringan       | Adjektiva  | Tidak berat; mudah; tidak memerlukan banyak tenaga
Rukun        | Adjektiva  | Hidup damai berdampingan tanpa pertengkaran
Sabar        | Adjektiva  | Menahan diri dari amarah; tenang menghadapi cobaan
Semangat     | Nomina     | Kegairahan; dorongan kuat untuk melakukan sesuatu
Setia        | Adjektiva  | Tidak berkhianat; teguh dalam pendirian dan komitmen
Sukses       | Adjektiva  | Berhasil mencapai tujuan; beruntung dalam usaha
Syukur       | Nomina     | Rasa terima kasih kepada Tuhan atas segala nikmat
Taqwa        | Nomina     | Ketaatan kepada perintah Tuhan dan menjauhi larangan-Nya
Ragam        | Nomina     | Jenis; macam; variasi dalam sesuatu
Raih         | Verba      | Mencapai; mendapatkan sesuatu yang diinginkan
Rakyat       | Nomina     | Warga negara biasa; penduduk suatu negara
Rancang      | Verba      | Merencanakan; membuat desain atau konsep awal
Rangkul      | Verba      | Merangkul; memeluk erat dengan kedua lengan
Rapi         | Adjektiva  | Teratur; bersih; tersusun dengan baik dan indah
Rata         | Adjektiva  | Tidak bergelombang; sama tinggi; merata ke semua pihak
Realistis    | Adjektiva  | Berdasarkan kenyataan; tidak muluk-muluk
Rela         | Adjektiva  | Ikhlas; bersedia dengan senang hati tanpa terpaksa
Refleksi     | Nomina     | Perenungan diri; bayangan yang dipantulkan
Reformasi    | Nomina     | Perubahan mendasar untuk perbaikan sistem yang ada
Regenerasi   | Nomina     | Proses pembaruan generasi; penggantian yang lama
Rendah       | Adjektiva  | Tidak tinggi; berada di bawah; tidak sombong
Responsif    | Adjektiva  | Cepat menanggapi; peka terhadap kebutuhan
Revolusi     | Nomina     | Perubahan besar dan menyeluruh secara cepat
Ridha        | Nomina     | Keridhaan; kerelaan Tuhan; perasaan puas dan menerima
Risiko       | Nomina     | Kemungkinan mengalami kerugian atau bahaya
Rohani       | Adjektiva  | Berkaitan dengan jiwa dan spiritualitas; bukan jasmani
Romantis     | Adjektiva  | Penuh perasaan cinta; bersifat mengungkap kasih sayang
Ruang        | Nomina     | Tempat; sela-sela antara benda; area yang tersedia
Rugi         | Verba      | Mengalami kerugian; tidak mendapat keuntungan
Rutin        | Adjektiva  | Dilakukan secara teratur; tidak berubah-ubah
Rukun        | Adjektiva  | Damai; hidup berdampingan dengan harmonis
Rumit        | Adjektiva  | Sulit; kompleks; memerlukan banyak pemikiran
Runtuh       | Verba      | Roboh; hancur; jatuh berkeping-keping
Rupa         | Nomina     | Bentuk fisik; penampilan luar yang terlihat
Rusak        | Adjektiva  | Tidak berfungsi lagi; hancur; tidak utuh
Syariah      | Nomina     | Hukum Islam yang bersumber dari Al-Quran dan hadis
Saling       | Adverbia   | Berbalas-balasan; satu sama lain
Santun       | Adjektiva  | Sopan; berbudi halus; bertutur kata yang baik
Sederhana    | Adjektiva  | Tidak berlebihan; apa adanya; bersahaja
Sabar        | Adjektiva  | Tahan menghadapi cobaan; tenang dan tidak tergesa-gesa
Sadar        | Adjektiva  | Tahu; insaf; tidak dalam keadaan terlena
Sahabat      | Nomina     | Teman karib; kawan dekat yang selalu ada
Sambut       | Verba      | Menerima kedatangan seseorang dengan hangat
Santai       | Adjektiva  | Tenang; tidak tegang; tidak terlalu serius
Saran        | Nomina     | Pendapat yang dianjurkan untuk kebaikan seseorang
Semangat     | Nomina     | Dorongan dalam hati untuk berbuat sesuatu
Serius       | Adjektiva  | Sungguh-sungguh; tidak main-main
Serasi       | Adjektiva  | Cocok; sesuai; harmonis dalam perpaduan
Setara       | Adjektiva  | Sama derajatnya; sejajar; tidak ada yang lebih tinggi
Siap         | Adjektiva  | Sudah bersiap; dalam keadaan terpenuhi syaratnya
Sikap        | Nomina     | Cara berperilaku; pendirian terhadap sesuatu
Solusi       | Nomina     | Jawaban atas masalah; cara menyelesaikan kesulitan
Sopan        | Adjektiva  | Beradab; bertutur santun; menghormati orang lain
Sosial       | Adjektiva  | Berkaitan dengan kehidupan bermasyarakat
Strategi     | Nomina     | Rencana dan cara untuk mencapai tujuan secara efektif
Sumber       | Nomina     | Asal; tempat sesuatu berasal; mata air; referensi
Sungguh      | Adverbia   | Benar-benar; dengan serius dan penuh kesungguhan
Susah        | Adjektiva  | Sulit; tidak mudah; penuh rintangan
Syukur       | Nomina     | Rasa terima kasih atas nikmat yang diterima dari Tuhan
Taat         | Adjektiva  | Patuh; menjalankan perintah dengan setia
Tanggung     | Verba      | Menanggung; bertanggung jawab atas sesuatu
Teguh        | Adjektiva  | Kuat; kokoh; tidak mudah goyah dalam pendirian
Tekun        | Adjektiva  | Rajin dan bersungguh-sungguh dalam mengerjakan sesuatu
Toleransi    | Nomina     | Sikap menghargai perbedaan dan tidak memaksakan kehendak
Tradisi      | Nomina     | Kebiasaan yang diwariskan turun-temurun
Tulus        | Adjektiva  | Ikhlas; tidak berpura-pura; jujur dari hati
Tuntas       | Adjektiva  | Selesai hingga habis; tidak setengah-setengah
Ulet         | Adjektiva  | Tidak mudah menyerah; gigih dan tekun dalam bekerja
Unggul       | Adjektiva  | Lebih tinggi kualitasnya; melampaui yang lain
Tabah        | Adjektiva  | Kuat menghadapi penderitaan; tidak mudah putus asa
Takluk       | Verba      | Menyerah; kalah; tunduk pada kekuasaan lain
Tanggap      | Adjektiva  | Cepat merespons; peka terhadap situasi
Tarbiyah     | Nomina     | Pendidikan; pembinaan karakter dan akhlak
Tegar        | Adjektiva  | Kokoh; kuat; tidak mudah goyah oleh tekanan
Teladani     | Verba      | Mencontoh perilaku baik seseorang untuk diikuti
Terbuka      | Adjektiva  | Tidak tertutup; bersedia menerima pendapat orang lain
Terencana    | Adjektiva  | Sudah direncanakan dengan matang sebelumnya
Tertib       | Adjektiva  | Teratur; sesuai aturan; tidak kacau
Tindakan     | Nomina     | Perbuatan; langkah yang diambil untuk mencapai sesuatu
Tulus ikhlas | Adjektiva  | Benar-benar murni dan ikhlas tanpa pamrih apapun
Turun        | Verba      | Bergerak ke tempat yang lebih rendah
Ucapan       | Nomina     | Kata-kata yang dikeluarkan lewat mulut
Ulasan       | Nomina     | Penjelasan atau tinjauan tentang sesuatu secara mendalam
Unifikasi    | Nomina     | Penyatuan; proses menjadikan satu yang tadinya terpisah
Upaya        | Nomina     | Usaha; ikhtiar untuk mencapai suatu tujuan
Utama        | Adjektiva  | Paling penting; terbaik; yang diutamakan
Visi         | Nomina     | Pandangan jauh ke depan; gambaran masa depan yang dicita-citakan
Wadah        | Nomina     | Tempat; sarana yang menampung suatu kegiatan
Wawasan      | Nomina     | Pandangan; pengetahuan luas tentang sesuatu
Wibawa       | Nomina     | Kewibawaan; kemampuan membuat orang hormat
Yaqin        | Adjektiva  | Yakin; percaya sepenuhnya tanpa keraguan
Zeal         | Nomina     | Semangat membara; antusias dalam mencapai tujuan
Tabiat       | Nomina     | Watak; sifat bawaan yang menjadi kebiasaan seseorang
Takdir       | Nomina     | Ketentuan Tuhan; nasib yang sudah ditetapkan
Takwa        | Nomina     | Ketakutan dan kepatuhan kepada Tuhan; kesalehan sejati
Tampil       | Verba      | Muncul; hadir di depan umum; menunjukkan diri
Tanamkan     | Verba      | Memasukkan nilai atau kebiasaan secara terus-menerus
Ubah         | Verba      | Menjadi lain dari semula; mengubah bentuk atau sifat
Uji          | Verba      | Mencoba; memeriksa kemampuan atau kualitas sesuatu
Ukuran       | Nomina     | Besaran; standar yang digunakan untuk mengukur sesuatu
Ulang        | Verba      | Melakukan kembali sesuatu yang sudah pernah dilakukan
Umpan        | Nomina     | Makanan untuk menarik ikan; cara untuk menarik perhatian
Umum         | Adjektiva  | Berlaku untuk semua; diketahui oleh banyak orang
Untung       | Nomina     | Keberuntungan; keuntungan yang diperoleh dari usaha
Urai         | Verba      | Menjelaskan secara rinci; menguraikan satu per satu
Urgen        | Adjektiva  | Mendesak; perlu segera ditangani
Usaha        | Nomina     | Kegiatan yang dilakukan dengan sungguh-sungguh untuk tujuan
Utuh         | Adjektiva  | Tidak rusak; tidak berkurang; lengkap sempurna
Uzur         | Nomina     | Halangan; alasan yang menghalangi seseorang melakukan kewajiban
Varian       | Nomina     | Variasi; bentuk atau jenis yang berbeda-beda
Vital        | Adjektiva  | Sangat penting; tidak bisa ditawar untuk kehidupan
Wadah        | Nomina     | Tempat menampung; sarana berkumpulnya sesuatu
Wajar        | Adjektiva  | Sesuai aturan umum; tidak berlebihan; normal
Waktu        | Nomina     | Masa; saat; jangka berlangsungnya suatu kejadian
Warga        | Nomina     | Anggota suatu masyarakat atau negara
Waspada      | Adjektiva  | Selalu berhati-hati; siap menghadapi bahaya
Zaman        | Nomina     | Masa; periode waktu dalam sejarah kehidupan
Ubiquitous   | Adjektiva  | Hadir di mana-mana; dapat dijumpai di semua tempat
Ukhrawi      | Adjektiva  | Berkaitan dengan akhirat; bersifat keagamaan
Ulil albab   | Nomina     | Orang-orang yang berakal dan bijaksana dalam Islam
Ummah        | Nomina     | Umat; komunitas yang diikat oleh keyakinan atau tujuan sama
Universitas  | Nomina     | Perguruan tinggi tempat belajar berbagai ilmu pengetahuan
Urgensi      | Nomina     | Keadaan mendesak; tingkat keperluan yang sangat tinggi
Ustaz        | Nomina     | Guru agama Islam; orang yang ahli dalam ilmu agama
Validasi     | Nomina     | Proses memeriksa keabsahan atau kebenaran data
Variabel     | Nomina     | Besaran yang nilainya dapat berubah-ubah
Variasi      | Nomina     | Ragam; perbedaan yang ada dalam satu kelompok
Ventilasi    | Nomina     | Lubang atau sistem sirkulasi udara dalam ruangan
Verifikasi   | Nomina     | Pembuktian kebenaran suatu informasi atau data
Versi        | Nomina     | Bentuk atau edisi tertentu dari sesuatu
Veteran      | Nomina     | Mantan tentara; orang berpengalaman di bidang tertentu
Visi         | Nomina     | Pandangan ke depan; tujuan jangka panjang yang ingin dicapai
Vokasi       | Nomina     | Pendidikan yang menekankan keterampilan kerja praktis
Volume       | Nomina     | Ukuran isi; keras lemahnya bunyi; jumlah sesuatu
Wakaf        | Nomina     | Harta yang diserahkan untuk kepentingan agama dan umum
